contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL210115C00200000,2019-04-05 2:16PM EDT,200,25.04,24.85,25.35,0.84,3.47%,107,"8,555",25.49%,1/15/2021
AAPL210115C00205000,2019-04-05 3:56PM EDT,205,22.95,22.65,23.35,0.95,4.32%,14,"1,785",25.50%,1/15/2021
AAPL210115C00210000,2019-04-05 3:48PM EDT,210,20.97,20.55,21,0.87,4.33%,26,"2,435",25.04%,1/15/2021
AAPL210115C00215000,2019-04-05 12:07PM EDT,215,18.88,18.75,19.35,0.6,3.28%,37,896,25.12%,1/15/2021
AAPL210115C00220000,2019-04-05 3:45PM EDT,220,17.17,17,17.5,0.62,3.75%,401,"3,984",24.89%,1/15/2021
AAPL210115C00225000,2019-04-05 1:22PM EDT,225,15.4,15.35,16.15,0.45,3.01%,10,"1,970",25.02%,1/15/2021
AAPL210115C00230000,2019-04-05 3:20PM EDT,230,14.01,13.8,14.1,0.46,3.39%,21,"2,923",24.35%,1/15/2021
AAPL210115C00235000,2019-04-05 3:17PM EDT,235,12.55,12.4,12.9,0.43,3.55%,45,892,24.40%,1/15/2021
AAPL210115C00240000,2019-04-05 3:26PM EDT,240,11.4,11.15,11.55,0.55,5.07%,145,"1,631",24.20%,1/15/2021
AAPL210115C00245000,2019-04-05 3:24PM EDT,245,10.31,10.05,10.45,0.56,5.74%,110,358,24.14%,1/15/2021
AAPL210115C00250000,2019-04-05 3:25PM EDT,250,9.1,8.95,9.45,0.4,4.60%,49,"3,450",24.10%,1/15/2021
AAPL210115C00255000,2019-04-05 3:25PM EDT,255,8.17,8,10.5,1.57,23.79%,22,312,26.30%,1/15/2021
AAPL210115C00260000,2019-04-05 1:12PM EDT,260,7.3,7.15,8,0.35,5.04%,115,"1,831",24.38%,1/15/2021
AAPL210115C00265000,2019-04-02 3:38PM EDT,265,6,6.4,6.85,0,-,1,369,23.86%,1/15/2021
AAPL210115C00270000,2019-04-05 10:01AM EDT,270,5.8,5.7,7.25,1.2,26.09%,1,417,25.25%,1/15/2021
AAPL210115C00280000,2019-04-02 9:43AM EDT,280,3.94,4.55,6.05,0,-,10,875,25.30%,1/15/2021
AAPL210115C00290000,2019-04-04 12:12PM EDT,290,3.5,3.6,5.1,0,-,1,519,25.43%,1/15/2021
AAPL210115C00300000,2019-04-05 11:48AM EDT,300,3,2.9,4.35,0.2,7.14%,10,"2,462",25.63%,1/15/2021
AAPL210115C00310000,2019-03-26 3:30PM EDT,310,1.65,2.27,3.8,0,-,0,332,25.98%,1/15/2021
AAPL210115C00320000,2019-04-05 10:41AM EDT,320,1.85,1.8,3.35,0.1,5.71%,2,252,26.35%,1/15/2021
AAPL210115C00330000,2019-04-02 12:38PM EDT,330,1.42,1.29,1.79,0,-,10,"1,530",23.88%,1/15/2021
AAPL210115C00340000,2019-04-04 11:52AM EDT,340,1.28,1.16,1.51,0,-,30,521,24.07%,1/15/2021
AAPL210115C00350000,2019-04-04 3:10PM EDT,350,1.05,0.81,1.29,0,-,50,"2,223",24.29%,1/15/2021
AAPL210115C00360000,2019-04-04 11:32AM EDT,360,0.87,0.71,1.09,0,-,10,276,24.45%,1/15/2021
AAPL210115C00370000,2019-04-05 9:50AM EDT,370,0.75,0.72,0.88,0.02,2.74%,10,"1,189",24.41%,1/15/2021
AAPL210115C00380000,2019-04-05 2:34PM EDT,380,0.65,0.62,0.74,-0.05,-7.14%,16,"4,942",24.54%,1/15/2021
AAPL210618C00075000,2019-04-01 3:21PM EDT,75,116.5,119.55,124.5,0,-,1,24,44.59%,6/18/2021
AAPL210618C00080000,2019-04-03 3:15PM EDT,80,115,114.55,119.5,0,-,11,25,41.92%,6/18/2021
AAPL210618C00085000,2019-04-03 10:40AM EDT,85,111.55,109.55,114.5,0,-,1,5,39.42%,6/18/2021
AAPL210618C00090000,2019-04-03 9:46AM EDT,90,105,104.55,109.5,0,-,2,12,37.08%,6/18/2021
AAPL210618C00095000,2019-02-19 3:45PM EDT,95,78.91,100,104.5,0,-,2,40,34.86%,6/18/2021
AAPL210618C00100000,2019-04-04 11:36AM EDT,100,96.55,95.05,100,0,-,2,222,34.33%,6/18/2021
AAPL210618C00105000,2019-03-26 10:07AM EDT,105,89.08,90.55,95.5,0,-,1,17,33.64%,6/18/2021
