contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190517C00185000,2019-04-30 2:25PM EDT,185,17.58,17.55,17.8,-2.77,-13.61%,"1,581","10,048",40.38%,5/17/2019
AAPL190517C00187500,2019-04-30 1:50PM EDT,187.5,15.4,15.4,15.55,-2.95,-16.08%,46,120,38.21%,5/17/2019
AAPL190517C00190000,2019-04-30 2:25PM EDT,190,13.47,13.4,13.55,-2.5,-15.65%,"1,369","15,922",37.49%,5/17/2019
AAPL190517C00192500,2019-04-30 2:22PM EDT,192.5,11.64,11.45,11.65,-2.21,-15.96%,439,470,36.73%,5/17/2019
AAPL190517C00195000,2019-04-30 2:28PM EDT,195,9.8,9.7,9.85,-2.06,-17.37%,"2,317","11,114",35.85%,5/17/2019
AAPL190517C00197500,2019-04-30 2:28PM EDT,197.5,8.15,8.1,8.2,-1.75,-17.68%,986,713,35.07%,5/17/2019
AAPL190517C00200000,2019-04-30 2:27PM EDT,200,6.6,6.6,6.7,-1.74,-20.86%,"6,989","18,096",34.31%,5/17/2019
AAPL190517C00202500,2019-04-30 2:28PM EDT,202.5,5.3,5.25,5.35,-1.5,-22.06%,"3,553",908,33.51%,5/17/2019
AAPL190517C00205000,2019-04-30 2:26PM EDT,205,4.19,4.1,4.2,-1.21,-22.41%,"5,587","13,127",32.90%,5/17/2019
AAPL190517C00207500,2019-04-30 2:26PM EDT,207.5,3.2,3.1,3.2,-1,-23.81%,"3,574","3,653",32.19%,5/17/2019
AAPL190517C00210000,2019-04-30 2:28PM EDT,210,2.35,2.33,2.36,-0.85,-26.56%,"9,507","16,754",31.43%,5/17/2019
AAPL190517C00212500,2019-04-30 2:27PM EDT,212.5,1.7,1.71,1.75,-0.7,-29.17%,"2,513","1,510",31.20%,5/17/2019
AAPL190517C00215000,2019-04-30 2:27PM EDT,215,1.21,1.2,1.23,-0.55,-31.25%,"15,511","7,934",30.64%,5/17/2019
AAPL190517C00217500,2019-04-30 2:25PM EDT,217.5,0.86,0.84,0.88,-0.42,-32.81%,862,"1,739",30.54%,5/17/2019
AAPL190517C00220000,2019-04-30 2:28PM EDT,220,0.62,0.6,0.62,-0.29,-31.87%,"11,124","26,549",30.49%,5/17/2019
AAPL190517C00222500,2019-04-30 2:19PM EDT,222.5,0.45,0.42,0.45,-0.2,-30.77%,436,"1,322",30.79%,5/17/2019
AAPL190517C00225000,2019-04-30 2:26PM EDT,225,0.32,0.3,0.32,-0.15,-31.91%,"1,772","6,308",31.01%,5/17/2019
AAPL190517C00227500,2019-04-30 2:17PM EDT,227.5,0.24,0.22,0.24,-0.1,-29.41%,98,441,31.59%,5/17/2019
AAPL190517C00230000,2019-04-30 2:27PM EDT,230,0.17,0.16,0.18,-0.08,-32.00%,"2,269","8,120",32.13%,5/17/2019
